date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 07:49:15.330652000 EST,192.168.4.140,192.168.4.137,143,58343,1024,0x0002
Mar  8, 2024 07:49:15.330908000 EST,192.168.4.140,192.168.4.137,3389,58343,1024,0x0002
Mar  8, 2024 07:49:15.331034000 EST,192.168.4.140,192.168.4.137,199,58343,1024,0x0002
Mar  8, 2024 07:49:15.331151000 EST,192.168.4.140,192.168.4.137,1723,58343,1024,0x0002
Mar  8, 2024 07:49:15.331291000 EST,192.168.4.140,192.168.4.137,256,58343,1024,0x0002
Mar  8, 2024 07:49:15.331391000 EST,192.168.4.140,192.168.4.137,111,58343,1024,0x0002
Mar  8, 2024 07:49:15.331507000 EST,192.168.4.140,192.168.4.137,113,58343,1024,0x0002
Mar  8, 2024 07:49:15.331605000 EST,192.168.4.140,192.168.4.137,23,58343,1024,0x0002
Mar  8, 2024 07:49:15.331713000 EST,192.168.4.140,192.168.4.137,1025,58343,1024,0x0002
Mar  8, 2024 07:49:15.331806000 EST,192.168.4.140,192.168.4.137,554,58343,1024,0x0002
Mar  8, 2024 07:49:15.333066000 EST,192.168.4.137,192.168.4.140,58343,143,0,0x0014
Mar  8, 2024 07:49:15.333067000 EST,192.168.4.137,192.168.4.140,58343,3389,0,0x0014
Mar  8, 2024 07:49:15.333393000 EST,192.168.4.137,192.168.4.140,58343,199,0,0x0014
Mar  8, 2024 07:49:15.333921000 EST,192.168.4.137,192.168.4.140,58343,1723,0,0x0014
Mar  8, 2024 07:49:15.334218000 EST,192.168.4.137,192.168.4.140,58343,256,0,0x0014
Mar  8, 2024 07:49:15.334793000 EST,192.168.4.137,192.168.4.140,58343,111,5840,0x0012
Mar  8, 2024 07:49:15.334793000 EST,192.168.4.137,192.168.4.140,58343,113,0,0x0014
Mar  8, 2024 07:49:15.334879000 EST,192.168.4.140,192.168.4.137,111,58343,0,0x0004
Mar  8, 2024 07:49:15.335186000 EST,192.168.4.137,192.168.4.140,58343,23,5840,0x0012
Mar  8, 2024 07:49:15.335254000 EST,192.168.4.140,192.168.4.137,23,58343,0,0x0004
Mar  8, 2024 07:49:15.335530000 EST,192.168.4.137,192.168.4.140,58343,1025,0,0x0014
Mar  8, 2024 07:49:15.335793000 EST,192.168.4.137,192.168.4.140,58343,554,0,0x0014
Mar  8, 2024 07:49:15.335975000 EST,192.168.4.140,192.168.4.137,22,58343,1024,0x0002
Mar  8, 2024 07:49:15.336078000 EST,192.168.4.140,192.168.4.137,1720,58343,1024,0x0002
Mar  8, 2024 07:49:15.336160000 EST,192.168.4.140,192.168.4.137,5900,58343,1024,0x0002
Mar  8, 2024 07:49:15.336240000 EST,192.168.4.140,192.168.4.137,21,58343,1024,0x0002
Mar  8, 2024 07:49:15.336333000 EST,192.168.4.140,192.168.4.137,25,58343,1024,0x0002
Mar  8, 2024 07:49:15.336423000 EST,192.168.4.140,192.168.4.137,135,58343,1024,0x0002
Mar  8, 2024 07:49:15.336504000 EST,192.168.4.140,192.168.4.137,8080,58343,1024,0x0002
Mar  8, 2024 07:49:15.336596000 EST,192.168.4.140,192.168.4.137,80,58343,1024,0x0002
Mar  8, 2024 07:49:15.336676000 EST,192.168.4.140,192.168.4.137,110,58343,1024,0x0002
